,node1,node2,label
0,29132,10001,1
1,115774,10001,1
2,42223,10001,1
3,115775,10001,1
4,29133,10001,1
5,42222,10001,1
6,51889,10002,1
7,49719,10002,1
8,42528,10002,1
9,47403,10002,1
10,17711,10002,1
11,27753,10002,1
12,17712,10002,1
13,47402,10002,1
14,24435,10002,1
15,10011,10010,1
16,10013,10012,1
17,10015,10014,1
18,10016,10014,1
19,10016,10015,1
20,30789,10016,1
21,27988,10016,1
22,21651,10016,1
23,21652,10016,1
24,16983,10016,1
25,20223,10016,1
26,119154,10016,1
27,23181,10016,1
28,114252,10016,1
29,21682,10016,1
30,117361,10016,1
31,21653,10016,1
32,69806,10016,1
33,20224,10016,1
34,54130,10016,1
35,50214,10016,1
36,28091,10017,1
37,10019,10017,1
38,10018,10017,1
39,10019,10018,1
40,10402,10018,1
41,28091,10018,1
42,114232,10018,1
43,42475,10019,1
44,56427,10019,1
45,42474,10019,1
46,28091,10019,1
47,74655,10020,1
48,10022,10020,1
49,100041,10020,1
50,21194,10020,1
51,10021,10020,1
52,74656,10020,1
53,10023,10020,1
54,77972,10020,1
55,21193,10020,1
56,74654,10020,1
57,21195,10020,1
58,21197,10020,1
59,21196,10020,1
60,10023,10021,1
61,10022,10021,1
62,71717,10022,1
63,10023,10022,1
64,75417,10022,1
65,24035,10022,1
66,44849,10023,1
67,75417,10023,1
68,81274,10023,1
69,127133,10023,1
70,73274,10023,1
71,98168,10023,1
72,127134,10023,1
73,21195,10023,1
74,77972,10023,1
75,71717,10023,1
76,98167,10023,1
77,100958,10023,1
78,21194,10023,1
79,26097,10023,1
80,21196,10023,1
81,20408,10023,1
82,77973,10023,1
83,74655,10023,1
84,74080,10023,1
85,73273,10023,1
86,77974,10023,1
87,24035,10023,1
88,98169,10023,1
89,74656,10023,1
90,94454,10023,1
91,21197,10023,1
92,21193,10023,1
93,74654,10023,1
94,100041,10023,1
95,71329,10025,1
96,75739,10025,1
97,124396,10026,1
98,119349,10026,1
99,117887,10026,1
100,119350,10026,1
101,20487,10026,1
102,20486,10026,1
103,124397,10026,1
104,117886,10026,1
105,10028,10027,1
106,76387,10027,1
107,10029,10027,1
108,10029,10028,1
109,10034,10033,1
110,13884,10033,1
111,13885,10033,1
112,13886,10033,1
113,13887,10033,1
114,13888,10033,1
115,10036,10035,1
116,14605,10044,1
117,14607,10044,1
118,44298,10044,1
119,14606,10044,1
120,10048,10045,1
121,102019,10045,1
122,102022,10045,1
123,10046,10045,1
124,23940,10045,1
125,102020,10045,1
126,10047,10045,1
127,102021,10045,1
128,23941,10045,1
129,10049,10045,1
130,131445,10045,1
131,19425,10046,1
132,98709,10046,1
133,100898,10046,1
134,10048,10046,1
135,10049,10046,1
136,74491,10046,1
137,23748,10046,1
138,10047,10046,1
139,20193,10046,1
140,98817,10046,1
141,30644,10046,1
142,30139,10046,1
143,29930,10046,1
144,74493,10046,1
145,24746,10046,1
146,15385,10046,1
147,50534,10046,1
148,12689,10046,1
149,10224,10046,1
150,96330,10046,1
151,73418,10046,1
152,29929,10046,1
153,92384,10046,1
154,92385,10046,1
155,24747,10046,1
156,16503,10046,1
157,70096,10046,1
158,10438,10046,1
159,12717,10046,1
160,78533,10046,1
161,95605,10046,1
162,29974,10046,1
163,26509,10046,1
164,95606,10046,1
165,50978,10046,1
166,100897,10046,1
167,11095,10046,1
168,10049,10047,1
169,10048,10047,1
170,10049,10048,1
171,75055,10049,1
172,115548,10049,1
173,75179,10049,1
174,71288,10049,1
175,78766,10049,1
176,30852,10049,1
177,115549,10049,1
178,10051,10050,1
179,29285,10051,1
180,28112,10051,1
181,26699,10051,1
182,25373,10051,1
183,29286,10051,1
184,130754,10052,1
185,130753,10052,1
186,20023,10052,1
187,25677,10057,1
188,10058,10057,1
189,25678,10057,1
190,46635,10057,1
191,46636,10057,1
192,43209,10057,1
193,46636,10058,1
194,43209,10058,1
195,10060,10059,1
196,53501,10059,1
197,53501,10060,1
198,10067,10064,1
199,10066,10064,1
200,10065,10064,1
201,10068,10064,1
202,10067,10065,1
203,10068,10065,1
204,10066,10065,1
205,10068,10066,1
206,10067,10066,1
207,10068,10067,1
208,95283,10069,1
209,10070,10069,1
210,124168,10069,1
211,10096,10070,1
212,14225,10070,1
213,12486,10070,1
214,23639,10070,1
215,51682,10070,1
216,10072,10071,1
217,77673,10072,1
218,12656,10076,1
219,12655,10076,1
220,10077,10076,1
221,10079,10078,1
222,27234,10078,1
223,27235,10078,1
224,10455,10078,1
225,44524,10078,1
226,129772,10079,1
227,26239,10079,1
228,129773,10079,1
229,25564,10079,1
230,23058,10079,1
231,10083,10080,1
232,95928,10080,1
233,10082,10080,1
234,10081,10080,1
235,10082,10081,1
236,10083,10081,1
237,95928,10082,1
238,10083,10082,1
239,13881,10088,1
240,72060,10088,1
241,44218,10088,1
242,53925,10088,1
243,10196,10088,1
244,120294,10088,1
245,10195,10088,1
246,92540,10088,1
247,18101,10088,1
248,31279,10088,1
249,55574,10088,1
250,29926,10088,1
251,77930,10088,1
252,29927,10088,1
253,131260,10088,1
254,31277,10088,1
255,20970,10088,1
256,12716,10088,1
257,101899,10088,1
258,12343,10088,1
259,77950,10088,1
260,44217,10088,1
261,49106,10088,1
262,22381,10088,1
263,17883,10088,1
264,45904,10088,1
265,42979,10088,1
266,50755,10088,1
267,49107,10088,1
268,31278,10088,1
269,30247,10088,1
270,10093,10092,1
271,10094,10092,1
272,10094,10093,1
273,55805,10094,1
274,55804,10094,1
275,55803,10094,1
276,55806,10094,1
277,55802,10094,1
278,27226,10095,1
279,27227,10095,1
280,27225,10095,1
281,10096,10095,1
282,27226,10096,1
283,12486,10096,1
284,25428,10096,1
285,25427,10096,1
286,46327,10096,1
287,121647,10096,1
288,25430,10096,1
289,56175,10096,1
290,12796,10096,1
291,121715,10096,1
292,23639,10096,1
293,121714,10096,1
294,25429,10096,1
295,27225,10096,1
296,27227,10096,1
297,51682,10096,1
298,14225,10096,1
299,10433,10097,1
300,18003,10097,1
301,10432,10097,1
302,10430,10097,1
303,10098,10097,1
304,10431,10097,1
305,114178,10098,1
306,46364,10098,1
307,10100,10099,1
308,12297,10099,1
309,12951,10099,1
310,20734,10100,1
311,44968,10100,1
312,25468,10100,1
313,15874,10100,1
314,20733,10100,1
315,15873,10100,1
316,20497,10100,1
317,49796,10103,1
318,10104,10103,1
319,73390,10103,1
320,113280,10103,1
321,49796,10104,1
322,73390,10104,1
323,113280,10104,1
324,21353,10108,1
325,21354,10108,1
326,55671,10120,1
327,93820,10120,1
328,15243,10120,1
329,20066,10120,1
330,15866,10121,1
331,21093,10121,1
332,14790,10121,1
333,50235,10121,1
334,14791,10121,1
335,44626,10121,1
336,19406,10121,1
337,15867,10121,1
338,50285,10121,1
339,51979,10121,1
340,11619,10121,1
341,12257,10121,1
342,10122,10121,1
343,10123,10121,1
344,44627,10121,1
345,17345,10121,1
346,31117,10121,1
347,13040,10121,1
348,12228,10121,1
349,24570,10121,1
350,44625,10121,1
351,47321,10121,1
352,31118,10122,1
353,17345,10122,1
354,10123,10122,1
355,21093,10122,1
356,17344,10122,1
357,50235,10122,1
358,31117,10122,1
359,17346,10122,1
360,31119,10122,1
361,12228,10122,1
362,31120,10122,1
363,44426,10130,1
364,44427,10130,1
365,69273,10130,1
366,69274,10130,1
367,44425,10130,1
368,26154,10130,1
369,16223,10130,1
370,25807,10130,1
371,76924,10130,1
372,69272,10130,1
373,127019,10130,1
374,17298,10137,1
375,11678,10137,1
376,11675,10137,1
377,46204,10137,1
378,46202,10137,1
379,46203,10137,1
380,20192,10148,1
381,10149,10148,1
382,15025,10148,1
383,10151,10148,1
384,10150,10148,1
385,41500,10149,1
386,92075,10149,1
387,69969,10149,1
388,10150,10149,1
389,114549,10149,1
390,130565,10149,1
391,130566,10149,1
392,10151,10149,1
393,114550,10149,1
394,41499,10149,1
395,17091,10150,1
396,47636,10150,1
397,47637,10150,1
398,47034,10150,1
399,102595,10150,1
400,47638,10150,1
401,43218,10150,1
402,10283,10150,1
403,26972,10150,1
404,15025,10150,1
405,10282,10150,1
406,20192,10150,1
407,10618,10150,1
408,117983,10150,1
409,26975,10150,1
410,10668,10150,1
411,12575,10150,1
412,10151,10150,1
413,11981,10150,1
414,15025,10151,1
415,69138,10151,1
416,22039,10151,1
417,69139,10151,1
418,10153,10152,1
419,72364,10152,1
420,10636,10152,1
421,10157,10152,1
422,70861,10152,1
423,10154,10152,1
424,10156,10152,1
425,10155,10152,1
426,43847,10152,1
427,77325,10152,1
428,10158,10152,1
429,73021,10152,1
430,10157,10153,1
431,10156,10153,1
432,10154,10153,1
433,10158,10153,1
434,10155,10153,1
435,10155,10154,1
436,10158,10154,1
437,10157,10154,1
438,10156,10154,1
439,10157,10155,1
440,10158,10155,1
441,10156,10155,1
442,72407,10156,1
443,10158,10156,1
444,10157,10156,1
445,56872,10156,1
446,27736,10157,1
447,13051,10157,1
448,10158,10157,1
449,120516,10157,1
450,120515,10157,1
451,22961,10160,1
452,22962,10160,1
453,21958,10162,1
454,21957,10162,1
455,14651,10167,1
456,24433,10167,1
457,12839,10167,1
458,22473,10167,1
459,10171,10167,1
460,121055,10167,1
461,23789,10167,1
462,10168,10167,1
463,51472,10167,1
464,10175,10167,1
465,22127,10167,1
466,10174,10167,1
467,10169,10167,1
468,23788,10167,1
469,51475,10167,1
470,51474,10167,1
471,10172,10167,1
472,10170,10167,1
473,51473,10167,1
474,10173,10167,1
475,53170,10167,1
476,10175,10168,1
477,10170,10168,1
478,10169,10168,1
479,10172,10168,1
480,10173,10168,1
481,10171,10168,1
482,10174,10168,1
483,10171,10169,1
484,23788,10169,1
485,10173,10169,1
486,28777,10169,1
487,10172,10169,1
488,10175,10169,1
489,10174,10169,1
490,10170,10169,1
491,10174,10170,1
492,23788,10170,1
493,51474,10170,1
494,51475,10170,1
495,22473,10170,1
496,10172,10170,1
497,23789,10170,1
498,97147,10170,1
499,14651,10170,1
500,10175,10170,1
